campus_id,parking_lot_id,occupied_spaces,available_spaces,occupancy_percentage,predicted_occupancy,status,observation_timestamp,ingestion_timestamp,source,provenance
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:00:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-hostel,5,157,0.0309,"{""t_15min"": 5, ""t_30min"": 5, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-admin-visitor,2,70,0.0278,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-sports,2,88,0.0222,"{""t_15min"": 2, ""t_30min"": 2, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-overflow,1,53,0.0185,"{""t_15min"": 1, ""t_30min"": 1, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:15:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
vitap,vitap-lot-academic-main,4,104,0.037,"{""t_15min"": 4, ""t_30min"": 4, ""confidence"": ""SYNTHETIC""}",open,2026-09-01T00:30:00,2026-09-24T12:03:58.654935,synthetic_generator,SYNTHETIC
