campus_id,road_id,name,start_node_id,end_node_id,length_meters,expected_travel_time_seconds,is_walkable,is_driveable,status,geometry,configuration_version
vitap,vitap-road-gate-to-lot,Placeholder Gate to Placeholder Lot (SAMPLE),vitap-gate-placeholder,vitap-lot-placeholder,275.0,212.0,1,1,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.4911715, ""lng"": 80.5018052}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1485919486,Placeholder Lot to AB-1 (SAMPLE),vitap-lot-placeholder,vitap-osm-1485919486,519.0,399.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.493422, ""lng"": 80.501167}, {""lat"": 16.495673, ""lng"": 80.500528}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-750542242,Placeholder Lot to AB-2 (SAMPLE),vitap-lot-placeholder,vitap-osm-750542242,638.0,491.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.493396, ""lng"": 80.499914}, {""lat"": 16.49562, ""lng"": 80.498022}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1255690439,Placeholder Lot to CB (SAMPLE),vitap-lot-placeholder,vitap-osm-1255690439,452.0,348.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.492779, ""lng"": 80.500511}, {""lat"": 16.494387, ""lng"": 80.499217}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1321555307,Placeholder Lot to Food Street (SAMPLE),vitap-lot-placeholder,vitap-osm-1321555307,464.0,357.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.492466, ""lng"": 80.500098}, {""lat"": 16.493761, ""lng"": 80.49839}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1434460208,Placeholder Lot to MH-1 (SAMPLE),vitap-lot-placeholder,vitap-osm-1434460208,358.0,275.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.492678, ""lng"": 80.501216}, {""lat"": 16.494185, ""lng"": 80.500627}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1434460210,Placeholder Lot to MH-2 (SAMPLE),vitap-lot-placeholder,vitap-osm-1434460210,269.0,207.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.492361, ""lng"": 80.501564}, {""lat"": 16.49355, ""lng"": 80.501323}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1434908865,Placeholder Lot to MH-2 Food Store (SAMPLE),vitap-lot-placeholder,vitap-osm-1434908865,303.0,233.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.492473, ""lng"": 80.501385}, {""lat"": 16.493774, ""lng"": 80.500964}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1434460214,Placeholder Lot to MH-3 (SAMPLE),vitap-lot-placeholder,vitap-osm-1434460214,115.0,88.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.491645, ""lng"": 80.501584}, {""lat"": 16.492118, ""lng"": 80.501363}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1434890457,Placeholder Lot to MH-6 (SAMPLE),vitap-lot-placeholder,vitap-osm-1434890457,238.0,183.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.491581, ""lng"": 80.500776}, {""lat"": 16.491991, ""lng"": 80.499746}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1485935404,Placeholder Lot to MH-7 (SAMPLE),vitap-lot-placeholder,vitap-osm-1485935404,222.0,171.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.491926, ""lng"": 80.501121}, {""lat"": 16.49268, ""lng"": 80.500436}]",VITAP_CONFIG_V1
vitap,vitap-road-lot-to-1485935405,Placeholder Lot to LH-1 (SAMPLE),vitap-lot-placeholder,vitap-osm-1485935405,556.0,428.0,1,0,open,"[{""lat"": 16.4911715, ""lng"": 80.5018052}, {""lat"": 16.491571, ""lng"": 80.499231}, {""lat"": 16.49197, ""lng"": 80.496657}]",VITAP_CONFIG_V1
sample,sample-road-1,Gate to Lot 1,sample-gate-1,sample-lot-1,120.0,90.0,1,1,open,"[{""lat"": 10.0, ""lng"": 20.0}, {""lat"": 10.0005, ""lng"": 20.0005}, {""lat"": 10.001, ""lng"": 20.001}]",SAMPLE_CONFIG_V1
sample,sample-road-2,Gate to Lot 2,sample-gate-1,sample-lot-2,150.0,110.0,1,1,open,"[{""lat"": 10.0, ""lng"": 20.0}, {""lat"": 10.001, ""lng"": 20.0003}, {""lat"": 10.002, ""lng"": 20.0005}]",SAMPLE_CONFIG_V1
sample,sample-road-3,Lot 1 to Destination 1,sample-lot-1,sample-dest-1,60.0,45.0,1,0,open,"[{""lat"": 10.001, ""lng"": 20.001}, {""lat"": 10.0013, ""lng"": 20.0015}, {""lat"": 10.0015, ""lng"": 20.002}]",SAMPLE_CONFIG_V1
