vehicle_id,entry_gate,destination_id,search_time_seconds,waiting_time_seconds,travel_time_seconds,travel_distance_meters,assigned_lot_id,final_state
vitap-normal-day-v0,vitap-gate-placeholder,vitap-osm-1434890457,240,0,9660.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v1,vitap-gate-placeholder,vitap-osm-1485935405,240,0,2040.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v2,vitap-gate-placeholder,vitap-osm-1485935405,240,0,4860.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v3,vitap-gate-placeholder,vitap-osm-1321555307,240,0,9840.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v4,vitap-gate-placeholder,vitap-osm-1434460214,240,0,7260.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v5,vitap-gate-placeholder,vitap-osm-750542242,240,0,3960.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v6,vitap-gate-placeholder,vitap-osm-1255690439,240,0,,275.0,vitap-lot-placeholder,parked
vitap-normal-day-v7,vitap-gate-placeholder,vitap-osm-750542242,240,0,2100.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v8,vitap-gate-placeholder,vitap-osm-1434460214,240,0,,275.0,vitap-lot-placeholder,parked
vitap-normal-day-v9,vitap-gate-placeholder,vitap-osm-750542242,240,0,6300.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v10,vitap-gate-placeholder,vitap-osm-1255690439,240,0,3120.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v11,vitap-gate-placeholder,vitap-osm-1434890457,240,0,5700.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v12,vitap-gate-placeholder,vitap-osm-1485935405,240,0,,275.0,vitap-lot-placeholder,parked
vitap-normal-day-v13,vitap-gate-placeholder,vitap-osm-1485919486,240,0,7320.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v14,vitap-gate-placeholder,vitap-osm-1434460210,240,0,4260.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v15,vitap-gate-placeholder,vitap-osm-1434460208,240,0,7200.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v16,vitap-gate-placeholder,vitap-osm-1434908865,240,0,5160.0,550.0,vitap-lot-placeholder,completed
vitap-normal-day-v17,vitap-gate-placeholder,vitap-osm-1485919486,240,0,,275.0,vitap-lot-placeholder,parked
vitap-normal-day-v18,vitap-gate-placeholder,vitap-osm-1434460208,240,0,,275.0,vitap-lot-placeholder,parked
vitap-normal-day-v19,vitap-gate-placeholder,vitap-osm-1434908865,240,0,,275.0,vitap-lot-placeholder,parked
